t,x,v
0,0,0
0.001,0,0
0.002,1.66666e-08,1.66666e-05
0.003,6.66626e-08,4.9996e-05
0.004,1.66646e-07,9.99836e-05
0.005,3.3327e-07,0.000166624
0.006,5.83179e-07,0.000249909
0.007,9.33013e-07,0.000349833
0.008,1.3994e-06,0.000466387
0.009,1.99896e-06,0.00059956
0.01,2.7483e-06,0.000749343
0.011,3.66403e-06,0.000915724
0.012,4.76272e-06,0.00109869
0.013,6.06094e-06,0.00129823
0.014,7.57527e-06,0.00151432
0.015,9.32223e-06,0.00174696
0.016,1.13184e-05,0.00199613
0.017,1.35802e-05,0.0022618
0.018,1.61241e-05,0.00254396
0.019,1.89667e-05,0.00284259
0.02,2.21244e-05,0.00315768
0.021,2.56136e-05,0.00348919
0.022,2.94507e-05,0.00383711
0.023,3.36521e-05,0.00420142
0.024,3.82342e-05,0.00458209
0.025,4.32133e-05,0.00497909
0.026,4.86057e-05,0.0053924
0.027,5.44277e-05,0.005822
0.028,6.06955e-05,0.00626785
0.029,6.74255e-05,0.00672992
0.03,7.46337e-05,0.0072082
0.031,8.23363e-05,0.00770263
0.032,9.05495e-05,0.00821321
0.033,9.92894e-05,0.00873988
0.034,0.000108572,0.00928262
0.035,0.000118413,0.0098414
0.036,0.00012883,0.0104162
0.037,0.000139836,0.0110069
0.038,0.00015145,0.0116136
0.039,0.000163686,0.0122361
0.04,0.000176561,0.0128745
0.041,0.000190089,0.0135287
0.042,0.000204288,0.0141987
0.043,0.000219172,0.0148844
0.044,0.000234758,0.0155857
0.045,0.000251061,0.0163027
0.046,0.000268096,0.0170353
0.047,0.00028588,0.0177835
0.048,0.000304427,0.0185471
0.049,0.000323753,0.0193262
0.05,0.000343874,0.0201208
0.051,0.000364804,0.0209306
0.052,0.00038656,0.0217558
0.053,0.000409156,0.0225962
0.054,0.000432608,0.0234518
0.055,0.000456931,0.0243226
0.056,0.000482139,0.0252085
0.057,0.000508249,0.0261094
0.058,0.000535274,0.0270253
0.059,0.00056323,0.0279561
0.06,0.000592132,0.0289018
0.061,0.000621994,0.0298623
0.062,0.000652832,0.0308376
0.063,0.000684659,0.0318276
0.064,0.000717492,0.0328322
0.065,0.000751343,0.0338513
0.066,0.000786228,0.034885
0.067,0.000822161,0.0359331
0.068,0.000859157,0.0369956
0.069,0.000897229,0.0380724
0.07,0.000936393,0.0391635
0.071,0.000976661,0.0402688
0.072,0.00101805,0.0413881
0.073,0.00106057,0.0425215
0.074,0.00110424,0.0436689
0.075,0.00114907,0.0448302
0.076,0.00119508,0.0460054
0.077,0.00124227,0.0471943
0.078,0.00129067,0.0483969
0.079,0.00134028,0.0496131
0.08,0.00139112,0.0508428
0.081,0.00144321,0.052086
