t,x,v
0,0,0
0.001,0,0
0.002,1.66633e-08,1.66633e-05
0.003,6.66488e-08,4.99855e-05
0.004,1.6661e-07,9.99614e-05
0.005,3.33195e-07,0.000166585
0.006,5.83043e-07,0.000249848
0.007,9.32787e-07,0.000349744
0.008,1.39905e-06,0.000466262
0.009,1.99844e-06,0.000599394
0.01,2.74757e-06,0.000749127
0.011,3.66302e-06,0.000915449
0.012,4.76137e-06,0.00109835
0.013,6.05918e-06,0.00129781
0.014,7.573e-06,0.00151382
0.015,9.31936e-06,0.00174636
0.016,1.13148e-05,0.00199542
0.017,1.35757e-05,0.00226097
0.018,1.61187e-05,0.002543
0.019,1.89602e-05,0.00284149
0.02,2.21167e-05,0.00315642
0.021,2.56044e-05,0.00348776
0.022,2.94399e-05,0.0038355
0.023,3.36395e-05,0.0041996
0.024,3.82196e-05,0.00458006
0.025,4.31964e-05,0.00497683
0.026,4.85863e-05,0.00538989
0.027,5.44055e-05,0.00581922
0.028,6.06703e-05,0.00626479
0.029,6.73969e-05,0.00672657
0.03,7.46014e-05,0.00720452
0.031,8.23e-05,0.00769862
0.032,9.05088e-05,0.00820883
0.033,9.9244e-05,0.00873513
0.034,0.000108521,0.00927748
0.035,0.000118357,0.00983583
0.036,0.000128767,0.0104102
0.037,0.000139768,0.0110004
0.038,0.000151374,0.0116066
0.039,0.000163603,0.0122287
0.04,0.00017647,0.0128665
0.041,0.00018999,0.0135202
0.042,0.000204179,0.0141895
0.043,0.000219054,0.0148746
0.044,0.000234629,0.0155754
0.045,0.000250921,0.0162917
0.046,0.000267945,0.0170236
0.047,0.000285716,0.0177711
0.048,0.00030425,0.018534
0.049,0.000323562,0.0193123
0.05,0.000343668,0.020106
0.051,0.000364583,0.0209151
0.052,0.000386323,0.0217394
0.053,0.000408902,0.0225789
0.054,0.000432335,0.0234337
0.055,0.000456639,0.0243035
0.056,0.000481827,0.0251884
0.057,0.000507915,0.0260883
0.058,0.000534919,0.0270032
0.059,0.000562851,0.0279329
0.06,0.000591729,0.0288775
0.061,0.000621566,0.0298369
0.062,0.000652377,0.030811
0.063,0.000684177,0.0317997
0.064,0.00071698,0.0328031
0.065,0.000750801,0.033821
0.066,0.000785654,0.0348533
0.067,0.000821554,0.0359001
0.068,0.000858515,0.0369612
0.069,0.000896552,0.0380366
0.07,0.000935678,0.0391263
0.071,0.000975908,0.04023
0.072,0.00101726,0.0413478
0.073,0.00105974,0.0424797
0.074,0.00110336,0.0436255
0.075,0.00114815,0.0447851
0.076,0.0011941,0.0459586
0.077,0.00124125,0.0471457
0.078,0.0012896,0.0483465
0.079,0.00133916,0.0495609
0.08,0.00138995,0.0507888
0.081,0.00144198,0.0520302
0.082,0.00149526,0.0532848
